Symbiont accepted name;Host accepted name;Ocean origin;Region origin;Country origin
Amoebophrya ceratii-species complex;Tripos falcatiformis;Atlantic;Cabo Frio Island;Brazil
Amoebophrya ceratii-species complex;Tripos furca;Atlantic;Cabo Frio Island;Brazil
Amoebophrya ceratii-species complex;Tripos muelleri;Atlantic;Cabo Frio Island;Brazil
Amoebophrya ceratii-species complex;Tripos macroceros;Atlantic;Cabo Frio Island;Brazil
Amoebophrya ceratii-species complex;Prorocentrum cordatum;Atlantic;Cabo Frio Island;Brazil
Amoebophrya ceratii-species complex;Protoperidinium steinii;Atlantic;Cabo Frio Island;Brazil
Amoebophrya ceratii-species complex;Dinophysis acuminata;Atlantic;Cabo Frio Island;Brazil
Parvilucifera infectans;Alexandrium fundyense;North Sea;;Sweden
Parvilucifera infectans;Dinophysis acuta;North Sea;;Sweden
Parvilucifera infectans;Alexandrium tamarense;North Sea;;Sweden
Parvilucifera infectans;Alexandrium ostenfeldii;North Sea;;Sweden
Parvilucifera infectans;Dinophysis norvegica;North Sea;;Sweden
Parvilucifera infectans;Dinophysis acuminata;North Sea;;Sweden
Parvilucifera infectans;Dinophysis dens;North Sea;;Sweden
Parvilucifera infectans;Prorocentrum micans;North Sea;;Sweden
Parvilucifera infectans;Tripos sp.;North Sea;;Sweden
Parvilucifera infectans;Protoperidinium brochii;North Sea;;Sweden
Parvilucifera infectans;Protoperidinium divergens;North Sea;;Sweden
Parvilucifera infectans;Protoperidinium pellucidum;North Sea;;Sweden
Parvilucifera infectans;Diplopsalis sp.;North Sea;;Sweden
Parvilucifera infectans;Heterocapsa triquetra;North Sea;;Sweden
Parvilucifera infectans;Tripos muelleri;North Sea;;Sweden
Parvilucifera infectans;Dinophysis acuminata;North Sea;;Sweden
Parvilucifera infectans;Dinophysis acuta;North Sea;;Sweden
Parvilucifera infectans;Dinophysis norvegica;North Sea;;Sweden
Parvilucifera infectans;Tripos muelleri;North Sea;;Sweden
Parvilucifera infectans;Dinophysis acuminata;North Sea;;Sweden
Parvilucifera infectans;Dinophysis acuta;North Sea;;Sweden
Parvilucifera infectans;Dinophysis norvegica;North Sea;;Sweden
Parvilucifera infectans;Alexandrium minutum;English Channel;Penzé estuary;France
Parvilucifera infectans;Alexandrium pacificum;English Channel;Penzé estuary;France
Parvilucifera infectans;Alexandrium ostenfeldii;English Channel;Penzé estuary;France
Parvilucifera infectans;Alexandrium tamarense;English Channel;Penzé estuary;France
Parvilucifera infectans;Alexandrium tamutum;English Channel;Penzé estuary;France
Parvilucifera infectans;Gonyaulax spinifera;English Channel;Penzé estuary;France
Parvilucifera infectans;Gymnodinium aureolum;English Channel;Penzé estuary;France
Parvilucifera infectans;Heterocapsa triquetra;English Channel;Penzé estuary;France
Parvilucifera infectans;Kryptoperidinium foliaceum;English Channel;Penzé estuary;France
Parvilucifera infectans;Scrippsiella donghaienis;English Channel;Penzé estuary;France
Parvilucifera infectans;Scrippsiella trochoidea_STR1;English Channel;Penzé estuary;France
Parvilucifera infectans;Scrippsiella acuminata;English Channel;Penzé estuary;France
Parvilucifera infectans;Akashiwo sanguinea;English Channel;Penzé estuary;France
Parvilucifera infectans;Alexandrium minutum;English Channel;Rance estuary;France
Parvilucifera infectans;Alexandrium pacificum;English Channel;Rance estuary;France
Parvilucifera infectans;Alexandrium ostenfeldii;English Channel;Rance estuary;France
Parvilucifera infectans;Alexandrium tamarense;English Channel;Rance estuary;France
Parvilucifera infectans;Alexandrium tamutum;English Channel;Rance estuary;France
Parvilucifera infectans;Gonyaulax spinifera;English Channel;Rance estuary;France
Parvilucifera infectans;Gymnodinium aureolum;English Channel;Rance estuary;France
Parvilucifera infectans;Heterocapsa triquetra;English Channel;Rance estuary;France
Parvilucifera infectans;Kryptoperidinium foliaceum;English Channel;Rance estuary;France
Parvilucifera infectans;Scrippsiella donghaienis;English Channel;Rance estuary;France
Parvilucifera infectans;Scrippsiella trochoidea_STR1;English Channel;Rance estuary;France
Parvilucifera infectans;Scrippsiella acuminata;English Channel;Rance estuary;France
Parvilucifera infectans;Akashiwo sanguinea;English Channel;Rance estuary;France
Amoebophrya ceratii-Clade-3;Akashiwo sanguinea;Atlantic;Chesapeake Bay;
Amoebophrya ceratii-Clade-3;Akashiwo sanguinea;Atlantic;Chesapeake Bay;
Amoebophrya ceratii-species complex;Levanderina fissa;Atlantic;Chesapeake Bay;
Amoebophrya ceratii-species complex;Scrippsiella trochoidea-species complex;Atlantic;Chesapeake Bay;
Euduboscquella cachoni;Eutintinnus pectinis;Atlantic;Chesapeake Bay;
Amoebophrya ceratii-species complex;Scrippsiella trochoidea-species complex;Atlantic;Mahone Bay;Nova Scotia
Amoebophrya ceratii-species complex;Dinophysis norvegica;Atlantic;Mahone Bay;Nova Scotia
Amoebophrya ceratii-Clade-3;Akashiwo sanguinea;Atlantic;Chesapeake Bay - Rhode river;
Amoebophrya ceratii-Clade-1;Karlodinium veneficum;Atlantic;Chesapeake Bay - Rhode river;
Amoebophrya ceratii-Clade-4;Levanderina fissa;Atlantic;Chesapeake Bay - Rhode river;
Amoebophrya ceratii-Clade-2;Scrippsiella trochoidea-species complex;Atlantic;Chesapeake Bay - Rhode river;
Amoebophrya ceratii-Clade-3;Dinophysis norvegica;Baltic Sea;Gotland Deep;Sweden
Amoebophrya ceratii-Clade-33;Gonyaulax polygramma;Sea of Japan;Kusuan;South Korea
Amoebophrya ceratii-Clade-4;Alexandrium affine;Sea of Japan;Kusuan;South Korea
Amoebophrya ceratii-Clade-4;Alexandrium pacificum;Sea of Japan;Kusuan;South Korea
Amoebophrya ceratii-Clade-4;Alexandrium fundyense;Sea of Japan;Kusuan;South Korea
Amoebophrya ceratii-Clade-33;Heterocapsa triquetra;Sea of Japan;Kusuan;South Korea
Amoebophrya ceratii-Clade-33;Scrippsiella trochoidea-species complex;Sea of Japan;Kusuan;South Korea
Amoebophrya ceratii-Clade-33;Prorocentrum micans;Sea of Japan;Kusuan;South Korea
Amoebophrya ceratii-Clade-33;Prorocentrum cordatum;Sea of Japan;Kusuan;South Korea
Amoebophrya ceratii-Clade-33;Alexandrium pacificum;Sea of Japan;Kusuan;South Korea
Amoebophrya ceratii-Clade-33;Alexandrium fundyense;Sea of Japan;Kusuan;South Korea
Amoebophrya ceratii-Clade-12;Cochlodinium polykrikoides;Sea of Japan;Yeosu;South Korea
Amoebophrya ceratii-Clade-22;Cochlodinium polykrikoides;Sea of Japan;Yeosu;South Korea
Amoebophrya ceratii-species complex;Akashiwo sanguinea;Pacific;Santa Cruz Wharf - Monterey Bay;
Amoebophrya ceratii-species complex;Dinophysis norvegica;North Sea;;
Amoebophrya ceratii-Clade-1;Heterocapsa rotundata;English Channel;Penzé estuary;France
Amoebophrya ceratii-Clade-1;Alexandrium minutum;English Channel;Penzé estuary;France
Amoebophrya ceratii-Clade-2;Scrippsiella trochoidea-species complex;English Channel;Penzé estuary;France
Amoebophrya ceratii-Clade-14;Scrippsiella trochoidea-species complex;English Channel;Penzé estuary;France
Amoebophrya ceratii-Clade-14;Heterocapsa rotundata;English Channel;Penzé estuary;France
Amoebophrya ceratii-Clade-14;Heterocapsa triquetra;English Channel;Penzé estuary;France
