id	description	code_eunis	owner	valide
182	dans le sable pur		houbin	t
13	sur des algues		houbin	t
193	sable à Amphioxus		houbin	t
36	dans des cuvettes à Lithophyllum		houbin	t
64	maerl		houbin	t
181	dans des sables grossiers propres		houbin	t
183	dans la vase ou le sable vaseux		houbin	t
185	dans le sable fin de la plage		houbin	t
188	dans le sable plus ou moins pur		houbin	t
252	sur le spongiaire <i>Desmacidon</i>		houbin	t
253	cuvettes rocheuses		houbin	t
254	Non renseigné		houbin	t
463	Kelp with cushion fauna and/or foliose red seaweeds	A3.11	admin	t
678	Circalittoral coarse sediment	A5.14	admin	t
763	Circalittoral mixed sediments	A5.44	admin	t
