genre	espece	autorite	statut	id	id_espece
Exogone	hebes		f	231	178
Chondria	scintillans	G. Feldmann	t	2723	1650
Tharyx	marioni		f	1	296
Malmgrenia	castanea	McIntosh, 1876	f	2	59
Euphrosine	foliosa	(Audouin & Milne-Edwards, 1833)	t	3	90
Lumbriconereis	impatiens		f	4	242
Polygordius	lacteus	Schneider, 1868	t	5	18
Polygordius	villoti	Perrier, 1875	t	6	26
Polygordius	appendiculatus	Fraipont, 1887	t	7	27
Protodrilus	purpureus	(Schneider, 1868)	t	8	28
Protodrilus	oculifer	Pierantoni,1908	t	9	292
Protodrilus	bahusiensis	Jägersten, 1952	f	10	292
Protodrilus	ciliatus	Jägersten, 1952	t	11	29
Protodrilus	affinis	Jouin, 1968	t	12	30
Protodrilus	adhaerens	Jägersten, 1952	t	13	52
Protodrilus	hypoleucus	Armenante, 1903	t	14	345
Protodrilus	hatscheki	Pierantoni,1908	t	15	32
Protodrilus	symbioticus	Giard, 1904	t	16	54
Protodriloides	chaetifer	(Remane, 1926)	t	17	55
Saccocirrus	papillocercus	Bobretzky, 1871	t	18	33
Nerilla	antennata	Schmidt, 1848	t	19	34
Nerillidium	gracile	Remane, 1925	t	20	35
Nerillidium	troglochaetoides	Remane, 1925	t	21	36
Nerillidium	simplex	Lévi, 1953	t	22	37
Nerillidium	mediterraneum	Remane, 1925	t	23	38
Nerillidopsis	hyalina	jouin, 1966	t	24	39
Mesonerilla	roscovita	Lévi, 1953	t	25	40
Mesonerilla	armoricana	Swedmark, 1959	t	26	41
Mesonerilla	fagei	Swedmark, 1959	t	27	42
Mesonerilla	biantennata	Jouin, 1963	t	28	43
Meganerilla	clavata 	Magagnini, 1966	t	29	44
Dinophilus	taeniatus	Harmer, 1889	t	30	46
Dinophilus	gyrociliatus	Schmidt, 1857	t	31	47
Trilobodrilus	heideri	Remane, 1925	t	32	48
Trilobodrilus	sp.		t	33	49
Aphroditida	aculeata	Linnaeus, 1758	t	34	50
Laetmonice	hystrix	(Savigny in Lamarck, 1818)	t	35	51
Hermonia	hystrix	(Savigny in Lamarck, 1818)	f	36	51
Lepidonotus	squamatus	(Linnaeus, 1758)	t	37	57
Lepidonotus	clava	(Montagu, 1808)	t	38	58
Malmgreniella	castanea	McIntosh, 1876	t	39	59
Gattyana	cirrhosa	(Pallas, 1766)	t	40	60
Gattyana	cirrosa	(Pallas, 1766)	f	41	60
Harmothoe	imbricata	(Linnaeus, 1767)	t	42	61
Harmothoe	maxillospinosa	de Saint Joseph, 1888	f	43	61
Harmothoe	coeliaca	de Saint Joseph, 1888	t	44	62
Malmgreniella	mcintoshi	Tebble & Chambers, 1982	t	45	63
Harmothoe	haliaeti	Mc Intosh, 1876	f	46	63
Harmothoe	echinopustulata	Fauvel, 1913	f	47	64
Leucia	nivea	(Sars, 1863)	t	48	64
Harmothoe	impar	(Johnston, 1839)	t	49	65
Harmothoe	areolata	(Grube, 1860)	t	50	45
Malmgreniella	ljungmani	(Malmgren, 1867)	t	51	66
Harmothoe	ljungmani	Malmgren, 1867	f	52	66
Harmothoe	spinifera	(Ehlers, 1864)	t	53	67
Malmgreniella	glabra	(Malmgren, 1865)	t	54	68
Harmothoe	longisetis	(Grube, 1863)	f	55	68
Malmgreniella	arenicolae	(de Saint Joseph, 1888)	t	56	1
