genre	espece	autorite	statut	id	id_espece
Polygordius	lacteus	Schneider, 1868	t	5	18
Laetmonice	hystrix	(Savigny in Lamarck, 1818)	t	35	51
Harmothoe	echinopustulata	Fauvel, 1913	f	47	64
Nephthys	hombergii		f	283	217
Goniada	emerita	Audouin & Milne-Edwards, 1833	t	311	226
Nerine	foliosa		f	380	268
Ophelia	celtica	Amoureux & Dauvin, 1981	t	463	400
Arenicola	marina	(Linnaeus, 1767)	t	467	318
Bathyporeia	nana	Toulmond, 1966	t	843	607
Cerithiopsis	barleei	Jeffreys, 1867)	t	1800	1211
Eulimella	ventricosa	(Forbes, 1844)	t	1944	1243
