id	date	id_biotope	id_station	nom_observateur	pages_citation	abondance	densite	reproduction	altitude_profondeur	id_moderecolte	id_typerecolte	remarques	valide	id_espece	id_nomespece	owner	desc_biotope	id_biblio
8		200	96		p.5					2	8		t	18	5	houbin	dans le sable coquillier	23
9		200	5		p.5					2	8		t	27	7	houbin	dans le sable coquillier	23
10		200	534		p.5					2	8		t	27	7	houbin	dans le sable coquillier	23
11		200	5		p.5	présent				2	8		t	28	8	houbin	dans le sable coquillier	23
13		200	517		p.5	présent				2	8		t	28	8	houbin	dans le sable coquillier	23
14		200	5		p.5					2	8		t	292	10	houbin	dans le sable coquillier	23
15		200	534		p.5					2	8		t	292	10	houbin	dans le sable coquillier	23
16		181	148		p.5					1			t	292	10	houbin	dans des sables grossiers propres	23
18		181	79		p.5	très abondant				1			t	29	11	houbin	dans des sables grossiers propres	23
19		181	79		p.5	très abondant				1			t	29	11	houbin	dans des sables grossiers propres	23
20		200	534		p.6					2	8		t	30	12	houbin	dans le sable coquillier	23
21		200	5		p.6					2	8		t	30	12	houbin	dans le sable coquillier	23
22		181	83		p.6	abondant				1			t	52	13	houbin	dans des sables grossiers propres	23
23		200	398		p.6					2	8		t	52	13	houbin	dans le sable coquillier	23
24		200	534		p.6					2	8		t	52	13	houbin	dans le sable coquillier	23
25		200	398		p.6					2	8		t	31	617	houbin	dans le sable coquillier	23
26		200	398		p.6					2	8		t	345	14	houbin	dans le sable coquillier	23
27		200	5		p.6					2	8		t	345	14	houbin	dans le sable coquillier	23
28		200	534		p.6					2	8		t	345	14	houbin	dans le sable coquillier	23
29		181	79		p.6					1			t	345	14	houbin	dans des sables grossiers propres	23
30		250	355		p.6	très abondant				1			t	53	106	houbin	vase sableuse noire	23
31		250	329		p.6	très abondant				1			t	53	106	houbin	vase sableuse noire	23
32		250	159		p.6	très abondant				1			t	53	106	houbin	vase sableuse noire	23
33		200	5	JOUIN	p.6	présent				2	8		t	32	15	houbin	dans le sable coquillier	23
34		200	517	JOUIN	p.6	présent				2	8		t	32	15	houbin	dans le sable coquillier	23
36		250	355		p.6					1			t	54	16	houbin	vase sableuse noire	23
37		250	329		p.6					1			t	54	16	houbin	vase sableuse noire	23
38		200	159		p.6					1			t	55	17	houbin	dans le sable coquillier	23
39		200	398		p.6					2	8		t	55	17	houbin	dans le sable coquillier	23
40		200	374		p.6					2	8		t	55	17	houbin	dans le sable coquillier	23
41		200	488		p.6					2	8		t	55	17	houbin	dans le sable coquillier	23
42		182	349		p.6					1			t	55	17	houbin	dans le sable pur	23
43		200	83	L'HARDY	p.7					1			t	33	18	houbin	dans le sable coquillier	23
44		200	495	JOUIN	p.7					2	8		t	33	18	houbin	dans le sable coquillier	23
45		200	96	JOUIN	p.7					2	8		t	33	18	houbin	dans le sable coquillier	23
46		181	79		p.7					1			t	34	19	houbin	dans des sables grossiers propres	23
47		181	148		p.7					1			t	34	19	houbin	dans des sables grossiers propres	23
48		200	374		p.7					2	8		t	34	19	houbin	dans le sable coquillier	23
54		200	5		p.7					2	8		t	36	21	houbin	dans le sable coquillier	23
55		200	534		p.7					2	8		t	36	21	houbin	dans le sable coquillier	23
56		200	398		p.7					2	8		t	36	21	houbin	dans le sable coquillier	23
57		200	5		p.8					2	8		t	39	24	houbin	dans le sable coquillier	23
58		200	534		p.8					2	8		t	39	24	houbin	dans le sable coquillier	23
59		200	96		p.8					2	8		t	39	24	houbin	dans le sable coquillier	23
60		200	534	JOUIN	p.8	présent				2	8		t	40	25	houbin	dans le sable coquillier	23
61		200	517	JOUIN	p.8	présent				2	8		t	40	25	houbin	dans le sable coquillier	23
62		200	96	JOUIN	p.8	très abondant				2	8		t	40	25	houbin	dans le sable coquillier	23
63		200	534		p.8	présent				2	8		t	41	26	houbin	dans le sable coquillier	23
64		200	517		p.8	présent				2	8		t	41	26	houbin	dans le sable coquillier	23
88		84	455		p. 13	présent				1			t	57	37	houbin	herbier de Zostères	23
6335		222	249		p 18					4	1		t	1465		houbin	sables vaseux	103
8225		254	582		p 663					4	1		t	1450		houbin	Non renseigné	19
7255		273	325		p 348					4	1		t	1236		houbin	sable	53
8402		67	409							2	8		t	1377		houbin	sur fond coquillier	49
8690		44	92		p 112					4	1		t	1397		houbin	sous les pierres déplaçables à la main	204
8798		185	239		p 154					1	1		t	1432		houbin	dans le sable fin de la plage	54
9126		73	148	J. Picard	p 4					1	1		t	1492		houbin	dans les sédiments grossiers	25
6823		254	410		p 72					4	1		t	1200		houbin	Non renseigné	54
7111		254	79		p 78					4	1		t	1250		houbin	Non renseigné	54
7932		254	239		p 162					4	1		t	1407		houbin	Non renseigné	54
8200		254	36		p 165					4	1		t	1448		houbin	Non renseigné	54
8496		254	416	Pérez	p 142					4	1		t	1477		houbin	Non renseigné	54
9068		254	65		p 61					1	1		t	1449		houbin	Non renseigné	49
9151		254	148		p 145	commun				1	1		t	1476		houbin	Non renseigné	54
17		200	534		p.5					4			t	29	11	houbin	dans le sable coquillier	23
172	1992-05-01	253	215	Marie Claude Noailles						1	24		t	1795		houbin	cuvettes rocheuses	
173	2001-08-01	254	442	Marie Claude Noailles						2	8		t	1794		houbin	Non renseigné	
146		200	534	JOUIN, 1965						2	8		t	48	32	houbin	dans le sable coquillier	
66		200	374		p.8					2	8		t	43	28	houbin	dans le sable coquillier	23
68		200	398		p.8	abondant				2	8		t	43	28	houbin	dans le sable coquillier	23
69		200	495		p.8					2	8		t	43	28	houbin	dans le sable coquillier	23
70		67	405	RULLIER	p.13					2	8		t	50	34	houbin	sur fond coquillier	23
72		200	461	CABIOCH	p.13					2	8		t	50	34	houbin	dans le sable coquillier	23
74		64	426	CABIOCH	p. 13				15 m	2	8		t	51	36	houbin	maerl	23
75		247	492	CABIOCH	p. 13				10 m	2	8		t	51	36	houbin	sable hétérogène propre	23
76		63	405	RULLIER	p. 13					2	8		t	51	36	houbin	fonds de coquilles brisées	23
79	1968-01-01	763	497	CABIOCH		-			-80 m	2	8		t	51	35	houbin	fonds de cailloutis et de cailloutis sablo-graveleux 	23
78	1968-01-01	763	536	CABIOCH		-			30 m	2	8		t	51	35	houbin	fonds de cailloutis et de cailloutis sablo-graveleux 	23
83		84	455	ROBERT	p. 13	présent				4			t	51	36	houbin	herbier de Zostères	23
81		72	105	CABIOCH	p. 13				60 à 80 m	2	8		t	51	36	houbin	dans les graviers	23
82		72	114	CABIOCH	p. 13				plus de 80 m	2	8		t	51	36	houbin	dans les graviers	23
84		200	277	CORNET	p. 13					2	8		t	51	36	houbin	dans le sable coquillier	23
85		63	409		p. 13				65 m	2	8		t	57	37	houbin	fonds de coquilles brisées	23
71		84	445	CHASSE	p. 13	présent				1			t	50	34	houbin	herbier de Zostères	23
2		84	83		p. 233					1			t	60	41	houbin	herbier de Zostères	202
6		181	71		pp. 91, 94					1			t	58	38	houbin	dans des sables grossiers propres	212
5		181	517		pp. 91, 94					1			t	58	38	houbin	dans des sables grossiers propres	212
4		181	310		pp. 91, 94					1			t	58	38	houbin	dans des sables grossiers propres	212
3		181	244		pp. 91, 94					1			t	58	38	houbin	dans des sables grossiers propres	212
86		63	485		p. 13				65 m	2	8		t	57	37	houbin	fonds de coquilles brisées	23
87		63	537	RULLIER	p. 13				65 m	2	8		t	57	37	houbin	fonds de coquilles brisées	23
89		138	188		p. 13				60 à 80 m	2	8		t	57	37	houbin	sur fond caillouteux à Ophiures	23
90		138	181		p. 13				60 à 80 m	2	8		t	57	37	houbin	sur fond caillouteux à Ophiures	23
92		138	122		p. 13				60 à 80 m	2	8		t	57	37	houbin	sur fond caillouteux à Ophiures	23
93		200	168	CABIOCH	p. 13				20 à 30 m	2			t	57	37	houbin	dans le sable coquillier	23
94		242	462	CORNET	p.14					1			t	58	38	houbin	sable fin très propre	23
95		132	178	PRENANT	p.14					1			t	58	38	houbin	sous des pierres	23
96		132	391		p.14					1		coll. SBR	t	58	38	houbin	sous des pierres	23
97		251	517	DRACH	p.14					1			t	58	38	houbin	vase noire putride	23
98		200	105	CABIOCH	p.14				70 m	2	8		t	59	39	houbin	dans le sable coquillier	23
99		243	329	CORNET	p.14					1			t	60	41	houbin	sable fin	23
100		243	534	CORNET	p.14					1			t	60	41	houbin	sable fin	23
103		248	182	CABIOCH	p.14				65 m	2	8		t	61	42	houbin	sable hétérogène envasé	23
104		132	79	RULLIER	p.14					1			t	61	42	houbin	sous des pierres	23
105		132	495		p.14					1		coll. SBR	t	61	42	houbin	sous des pierres	23
106		132	39		p.14					1		coll. SBR	t	61	42	houbin	sous des pierres	23
107		132	154		p.14					1		coll. SBR	t	61	42	houbin	sous des pierres	23
108		246	468	CABIOCH	p.14				16 m	2	8		t	61	42	houbin	sable caillouteux hétérogène	23
109		64	252	CABIOCH	p.14				6 m	2	8		t	63	45	houbin	maerl	23
110		247	200	CABIOCH	p.14				12 m	2	8		t	63	45	houbin	sable hétérogène propre	23
111		200	340	CABIOCH	p.14				12 à 30 m	2	8		t	63	45	houbin	dans le sable coquillier	23
112		200	477	CABIOCH	p.14				60 m	2	8		t	63	45	houbin	dans le sable coquillier	23
113		200	105	CABIOCH	p.14				70 m	2	8		t	63	45	houbin	dans le sable coquillier	23
115		246	194	CABIOCH	p.15				55 m	2	8		t	65	48	houbin	sable caillouteux hétérogène	23
116		143	405	RULLIER	p.15					2	8		t	65	48	houbin	sur fonds de gravier et de coquilles	23
118		64	469	CABIOCH	p.15				3 m	2	8		t	65	48	houbin	maerl	23
119		132	79	RULLIER	p.15					1			t	65	48	houbin	sous des pierres	23
