id	date	id_biotope	id_station	nom_observateur	pages_citation	abondance	densite	reproduction	altitude_profondeur	id_moderecolte	id_typerecolte	remarques	valide	id_espece	id_nomespece	owner	desc_biotope	id_biblio	annee_observation
79	1968-01-01	763	497	CABIOCH		-			-80 m	2	8		t	51	35	houbin	fonds de cailloutis et de cailloutis sablo-graveleux 	23
78	1968-01-01	763	536	CABIOCH		-			30 m	2	8		t	51	35	houbin	fonds de cailloutis et de cailloutis sablo-graveleux 	23	
77	1968-01-01	763	314	CABIOCH		-			30 m	2	8		t	51	35	houbin	fonds de cailloutis et de cailloutis sablo-graveleux 	23	
171	1977-08-08	193	548	J.C. Dauvin	90					2	7		t	400	463	houbin	sable à Amphioxus	195	
114	1950-04-10	252	180	LEVI, dét. FAUVEL	p.15	rare				2	8		t	64	47	houbin	sur le spongiaire <i>Desmacidon</i>	23	
9264	1914-01-01	183	453	Paul de Beauchamp	76					1	27		t	268	380	houbin	dans la vase ou le sable vaseux	204
9263	1914-01-01	183	453	Paul de Beauchamp	76					1	28		t	318	467	houbin	dans la vase ou le sable vaseux	204	
9265	1914-01-01	183	453	Paul de Beauchamp	76					1	28		t	217	283	houbin	dans la vase ou le sable vaseux	204	
9266	1897-01-01	64	582	G. Pruvot	599					2	8		t	18	5	houbin	maerl	150	
9292	1964-09-01	182	525	André Toulmond						1	24	130 individus (16 mâles adultes ou subadultes, 21 femelles ovigères, 93 individus jeunes de sexe indéterminé). Prélèvement dans le sable fin pur à droite de l'écoulement sur la grève du ruisseau de Térénez; niveau : base de l'horizon des Fucus serratus.	f	607	843	houbin	dans le sable pur
8043	1972-01-01	678	405	Rodriguez-Babio		-				4			t	1243	1944	houbin	herbier de Zostères	163
9290	1975-01-01	188	15	José Mora Bermudez		-1			- 20m	2	8		t	226	311	houbin	dans le sable plus ou moins pur	190
80	1968-01-01	763	184	CABIOCH		-			- 80 m	2	8		t	51	35	houbin	fonds de cailloutis et de cailloutis sablo-graveleux 	23	
6407	1973-01-01	763	497	C. Rodriguez-Babio		-				2	8		t	1211	1800	houbin	en bancs dont les bords découvrent parfois aux grandes marées, en quelques endroits bien localisés	163
